CHROM	START	END	BRCA_METH	BRCA_DEPTH	CEAD_METH	CEAD_DEPTH	CESC_METH	CESC_DEPTH	COAD_METH	COAD_DEPTH	OV_METH	OV_DEPTH	READ_METH	READ_DEPTH	B cell_METH	B cell_DEPTH	CD4+ T-cell_METH	CD4+ T-cell_DEPTH	CD8+ T-cell_METH	CD8+ T-cell_DEPTH	Erythroblast_METH	Erythroblast_DEPTH	Monocyte_METH	Monocyte_DEPTH	Natural killer cell_METH	Natural killer cell_DEPTH	Neutrophil_METH	Neutrophil_DEPTH
chr11	11411206	11411882	499	818	30	43	11	40	215	320	67	88	147	218	733	883	1264	1347	895	991	580	631	1042	1127	946	1057	3618	3997
chr5	28286709	28287570	2334	4027	157	219	187	234	918	1132	79	165	125	610	2319	2735	6331	6822	2055	2250	2281	2879	2300	2577	2165	2407	8563	9930
chr22	45086559	45086825	332	385	17	18	12	12	100	132	40	43	30	102	335	394	412	440	417	444	181	198	442	475	397	443	1589	1754
chr19	8334450	8334711	317	1851	6	85	1	68	497	695	13	145	118	586	287	1941	2582	10799	596	3030	453	5637	340	3796	749	4125	1975	12325
chr14	31951354	31951755	788	965	47	62	48	49	319	465	32	82	147	189	684	856	2210	2554	764	919	736	1030	972	1159	683	857	2547	3205
chr1	53524784	53525059	654	1170	74	86	31	46	240	461	65	103	30	202	876	972	4335	4632	1061	1136	1449	1736	1500	1669	1149	1309	4681	5460
chr2	227722524	227723165	954	1358	66	93	45	57	273	421	128	153	120	566	1141	1348	543	595	465	515	245	317	949	1063	473	528	2139	2334
chr1	231935895	231936465	1124	1378	40	60	45	51	158	363	101	130	73	360	787	959	1437	1494	507	550	586	752	809	890	433	501	1895	2213
chr16	68831578	68832130	1241	1473	60	81	57	69	323	408	93	124	294	347	805	885	570	587	426	452	260	290	59	650	367	408	1427	1747
chr1	200306729	200306998	1822	2040	81	105	50	79	209	286	73	91	113	236	177	753	455	476	339	359	179	197	378	413	378	401	1450	1517
chr12	108846408	108846759	401	584	28	31	32	34	191	258	52	59	144	189	596	628	875	890	504	525	370	425	278	716	509	520	36	2016
chr22	24261425	24261892	585	681	27	34	38	45	310	358	81	94	109	191	912	1161	1637	1742	533	569	688	767	1075	1139	637	684	2239	2395
chr12	2461912	2462408	2184	2462	123	131	37	58	983	1099	262	296	346	381	1223	1300	7373	7597	1628	1702	3151	3525	2145	2233	1819	1948	7646	7974
chr19	6136846	6137519	1738	1992	74	83	32	34	447	607	136	153	186	439	1038	1140	3459	3737	1130	1233	1540	1835	1423	1493	1336	1419	4802	5114
chr11	20562980	20563654	895	1174	53	62	69	86	205	305	64	75	44	168	666	820	1091	1191	649	763	404	522	633	693	591	698	2604	2921
chr3	65326448	65327338	593	1745	62	75	89	108	203	294	119	136	358	449	741	819	728	765	550	583	265	335	678	733	525	600	2301	2555
chr2	47724327	47724855	556	684	24	33	31	43	165	232	30	54	107	222	18	630	783	885	356	399	313	396	429	560	344	412	1366	1630
chr12	124450981	124451495	998	1105	42	44	22	24	381	431	83	94	269	297	1063	1105	3481	3754	639	1051	1630	1741	1501	1629	105	1581	4042	5162
chr16	10205712	10205970	541	684	35	42	8	29	161	246	75	85	159	196	487	572	741	765	231	248	322	357	453	473	222	251	1163	1249
chr4	8030028	8030546	599	751	13	40	1	43	235	296	69	84	222	256	722	873	2040	2253	744	828	742	937	1222	1438	875	1022	3441	3955
chr17	73426255	73426631	896	1058	54	64	42	46	190	255	50	59	69	207	518	551	687	734	394	433	242	301	413	440	383	413	1570	1722
chr6	167324699	167325600	1397	1671	66	85	32	85	479	625	124	150	383	486	1732	1981	3860	4054	1828	1943	1256	1522	2433	2586	2042	2243	7948	8514
chr17	72342507	72343190	1685	2423	82	172	66	80	567	679	49	190	584	693	1144	1446	2275	2845	1070	1276	751	1056	1346	1687	1108	1415	4339	5271
chr21	35520087	35520549	1112	1306	50	68	73	96	174	281	71	103	83	285	774	964	843	872	770	812	377	452	795	873	651	716	2987	3351
chr2	218852114	218852790	950	1959	88	107	63	93	308	586	91	197	98	558	1072	1467	1606	1895	732	927	730	1016	1054	1327	815	998	3069	3914
chr19	58562308	58563444	120	7289	13	253	1	124	4228	6063	36	598	163	1495	233	8636	1497	53507	550	15918	2677	34137	486	16862	327	17447	1632	63934
chr6	133963826	133964545	1333	1524	123	148	100	120	462	575	186	211	113	409	1510	1602	1238	1292	587	618	591	615	872	905	729	786	3420	3579
chr10	89404254	89404785	667	757	49	49	34	38	239	312	75	89	71	192	871	921	1952	2001	663	697	785	883	915	938	702	735	2877	3013
chr17	46978466	46978724	74	1399	1	66	5	71	377	694	4	127	5	689	52	1915	145	10724	92	3439	44	5125	45	3265	52	3679	100	12616
chr2	138516967	138517776	1115	2357	143	147	171	178	728	806	255	290	553	624	1887	1935	2844	2931	1552	1610	1104	1167	1731	1771	1689	1749	6076	6321
chr5	96170624	96172371	5110	5821	284	312	221	254	1126	1596	275	344	232	1166	2901	3079	9719	10216	2767	2952	4504	5120	3677	3858	2905	3178	12690	13284
chr2	25917706	25918687	1516	1899	100	132	41	58	475	596	159	200	313	423	1678	1779	2179	2244	1389	1407	963	1050	1675	1728	1453	1535	4943	5207
chr16	1846882	1847395	1392	1637	80	90	53	55	298	383	93	110	295	556	1285	1401	2655	2782	1237	1340	1140	1278	1543	1638	1089	1210	5065	5497
chr1	156713109	156713575	1581	1966	59	76	20	95	410	520	117	141	314	491	1117	1171	801	826	568	588	297	331	973	1029	616	646	2604	2709
chr17	67525405	67526069	1718	1888	58	62	79	98	255	325	129	137	121	416	1032	1080	1258	1305	766	783	617	711	924	963	900	929	3169	3571
chr15	65291524	65292689	2464	2881	220	239	130	141	611	883	313	367	272	685	2794	3013	3715	3873	2041	2147	1864	2048	2478	2587	1989	2138	8050	8436
chr4	150080376	150081339	671	1674	113	128	77	106	426	501	134	156	296	359	1205	1291	792	819	823	845	373	444	983	1020	701	757	3358	3622
chr19	53932864	53933370	1260	1825	95	118	93	109	377	472	49	117	352	437	1365	1430	2586	2735	1158	1229	976	1183	1173	1219	1198	1286	4367	4719
chr8	95048283	95049238	2538	2870	139	151	143	155	575	708	209	253	532	624	1289	1339	1932	2006	839	875	866	1034	977	1120	842	896	1077	2646
chr9	21558872	21559165	545	963	11	77	0	76	15	331	13	99	25	276	123	903	12	127	24	385	15	166	75	631	47	312	186	1846
chr11	96185137	96185595	459	550	35	41	55	55	139	211	66	71	200	229	111	712	153	164	272	291	61	83	485	511	164	209	1248	1310
chr6	118577386	118578326	1102	1275	67	83	94	107	236	341	139	194	75	293	874	988	785	809	351	358	236	308	443	544	347	359	1375	1538
chr8	93883547	93884050	1270	1502	84	87	72	73	326	419	192	205	144	308	934	974	1729	1781	824	849	583	675	706	1142	823	890	3480	3767
chr11	30424033	30424414	1105	1456	82	90	26	40	441	517	52	143	269	319	1149	1233	2978	3118	1213	1273	968	1172	1323	1416	1153	1234	4591	4989
chr20	3830097	3830410	653	785	51	57	45	48	171	195	62	76	181	199	596	612	729	758	547	588	460	476	435	465	563	581	170	1823
chr2	239606518	239606964	941	1286	73	95	72	93	270	337	160	172	172	251	698	770	812	843	382	399	306	374	168	523	447	471	1225	1501
chr2	147642682	147643105	465	536	26	29	29	32	126	147	62	69	149	192	583	636	297	309	321	340	142	167	35	479	303	315	1139	1423
chr16	29640899	29641430	1141	1586	75	95	42	71	215	316	60	80	199	340	578	947	880	1074	256	427	384	452	434	749	31	489	1265	2240
chr7	125495358	125495921	1078	1520	109	127	83	103	259	382	170	200	143	423	1245	1352	874	927	602	637	407	471	963	1039	470	541	2764	3053
chr20	34633243	34633817	1301	1403	87	100	94	100	216	319	103	122	175	568	878	942	861	886	487	517	389	409	692	709	527	559	2129	2208
chr2	28417519	28417803	487	547	28	41	53	64	91	134	61	72	36	128	404	448	326	338	267	286	129	158	276	359	247	303	1121	1266
chr1	161985429	161986342	2309	3000	29	38	33	44	201	300	74	103	100	220	922	1156	1321	1417	777	844	536	667	1024	1131	814	919	2710	3234
chr2	55348150	55348754	1669	1959	175	177	142	143	522	616	177	186	295	458	1687	1739	2638	2690	1362	1409	1127	1176	1604	1636	1612	1656	5605	5801
chr4	73276521	73276832	1600	1754	107	119	53	71	675	749	96	115	291	338	1409	1478	2153	2200	833	860	846	928	1072	1127	1032	1098	3862	4065
chr17	82208953	82209342	1198	1409	83	103	128	143	449	530	118	140	337	436	727	1035	1613	1752	577	703	860	988	846	915	67	561	2834	3112
chr16	84834220	84834744	380	1128	37	53	37	45	489	594	70	91	353	452	1111	1190	3246	3376	1084	1157	1353	1580	1555	1659	1360	1558	4810	5086
chr2	74884250	74885145	965	1039	43	49	30	33	357	403	73	100	240	276	863	1031	1971	2052	1043	1078	676	793	994	1143	1152	1220	1650	3797
chr8	142375449	142375740	446	614	30	34	7	26	251	325	45	58	125	144	601	633	2451	2549	667	724	825	1052	799	996	835	944	2988	3677
chr6	3060777	3061478	2255	2563	212	244	85	147	640	704	185	211	318	408	1830	2043	1628	1691	1099	1147	1149	1224	1674	1715	1318	1376	4823	5077
chr21	31539520	31540410	2209	2396	119	129	88	91	572	740	205	223	239	414	1901	2022	2873	2947	1529	1590	1112	1236	1680	1740	1704	1816	6984	7399
chr16	57004978	57005247	1012	1297	48	58	44	58	326	433	72	82	287	339	193	772	817	870	346	517	476	532	831	845	560	661	3115	3246
chr19	52008194	52008958	569	3790	92	277	83	127	1078	1809	46	354	124	975	866	3472	3260	11470	1025	4212	1991	6450	1067	4850	1087	4458	3946	16176
chr6	163288206	163288765	1446	1685	62	76	73	94	477	615	124	142	163	368	1111	1210	1759	1825	1162	1236	660	783	1281	1338	1337	1468	4919	5219
chr8	62482715	62483557	1484	1818	70	85	46	88	269	361	205	262	270	368	1080	1300	1367	1519	879	990	458	578	991	1101	873	1012	3818	4444
chr1	10899434	10899903	872	1187	65	79	11	34	490	626	81	127	166	244	695	915	2580	2699	794	853	1082	1303	1025	1124	910	992	3137	3554
chr15	52804601	52805112	233	1798	24	116	21	65	361	609	6	216	52	513	86	2580	131	4434	82	2212	42	1809	58	2426	42	2300	111	8528
chr22	46019543	46020082	605	1343	112	128	57	68	287	378	98	137	322	396	965	1036	597	630	536	572	257	284	648	825	580	626	1607	2152
chr8	28056426	28057429	2045	2567	124	164	123	156	538	857	191	211	118	468	2054	2207	2066	2234	1397	1507	947	1097	1665	1806	1522	1701	6322	6941
chr16	12291975	12292463	1248	1398	56	83	41	42	294	447	88	102	262	386	206	1048	1686	1792	656	727	725	903	976	1023	696	806	2927	3182
chr20	53048238	53048619	1003	1495	93	104	71	87	254	354	43	164	374	547	727	881	1161	1329	376	436	416	521	608	772	405	489	1849	2274
chr5	178098547	178099091	689	2090	96	111	82	86	497	554	149	157	492	582	1316	1366	884	945	641	655	497	544	873	901	634	666	2282	2426
chr17	79143215	79144258	1357	2222	71	84	40	57	420	612	116	139	159	555	1657	1988	3340	3645	1543	1716	1078	1364	2573	2835	1856	2122	6518	7210
chr13	109396571	109396976	1235	1911	70	83	51	62	445	579	132	158	415	519	1370	1549	1901	2025	906	957	563	681	1048	1081	1174	1251	3777	4049
chr15	77724025	77724461	834	1083	52	65	14	37	299	385	94	122	137	280	1042	1196	1596	1708	643	702	571	659	1252	1386	691	772	2927	3189
chr10	32144728	32145237	643	752	47	56	72	73	220	305	66	81	58	310	749	830	873	899	550	580	395	447	796	829	551	599	2373	2483
chr12	1482169	1482609	1124	1211	40	50	38	43	288	310	119	141	266	288	781	809	1242	1318	625	662	483	511	648	679	682	741	2880	2983
chr20	62825964	62826475	1278	1457	58	71	42	56	655	835	113	122	436	568	368	1348	5198	5546	1792	1919	2691	3014	2371	2518	2048	2280	8215	8933
chr6	42027383	42027910	743	887	60	66	40	52	214	256	97	125	223	268	816	942	343	440	155	218	300	321	558	810	68	241	727	1139
chr17	39704091	39704552	1415	7904	58	76	35	39	340	457	100	121	270	318	1080	1135	1641	1700	906	941	659	745	1325	1389	1009	1057	3681	3994
chr18	10454564	10455416	66	5045	13	362	2	310	920	1403	13	636	7	1112	127	3977	416	30404	273	8919	79	14217	87	11233	162	10644	248	39826
chr9	127927009	127927268	463	991	3	67	17	43	43	493	3	112	16	492	36	1644	32	1481	29	1245	24	756	33	2024	32	1236	97	5005
chr10	50991170	50991689	270	3138	21	176	83	240	89	1352	18	404	4	959	127	3655	164	15551	54	4951	53	7084	17	6363	23	5910	29	19029
chr15	55593844	55594470	1365	1468	87	91	109	114	259	295	124	134	174	267	968	1009	1666	1717	782	819	714	767	763	808	893	936	3300	3452
chr3	184651396	184651946	744	920	37	42	24	46	213	309	66	95	187	262	619	686	831	862	519	560	261	321	626	655	598	653	2141	2243
chr3	182004869	182005483	532	733	20	27	35	40	111	179	48	53	44	205	333	446	733	835	348	409	353	391	355	445	319	391	1318	1594
chr4	26894933	26895192	854	944	58	64	27	60	307	341	71	82	200	221	748	768	430	440	398	404	239	263	506	523	414	441	1772	1872
chr10	71397263	71398043	171	3703	0	205	1	115	870	1348	5	427	88	533	163	5391	326	16802	167	5405	51	8218	105	7977	114	6125	255	20557
chr19	3508969	3509349	863	989	42	56	25	33	413	463	97	114	241	283	831	922	2386	2614	843	1025	1770	2037	1207	1399	398	1238	3882	4644
chr5	10125329	10126080	1175	1555	53	68	55	107	267	419	107	125	196	389	983	1267	2119	2384	1175	1366	842	1120	1595	1733	1146	1370	4876	5415
chr9	136911974	136912511	1282	1466	97	97	75	86	525	612	97	123	361	406	1337	1377	2180	2272	887	940	1080	1178	890	1037	1131	1232	1230	3512
chr12	221287	221819	953	1168	68	80	22	54	338	448	125	137	162	227	752	822	2818	2992	919	971	1393	1577	1378	1467	1025	1133	4667	5010
chr6	45448426	45448753	803	920	61	74	76	82	233	259	119	142	118	145	581	641	1358	1757	337	462	622	811	598	659	61	211	1640	1888
chr9	96496616	96497515	3424	3864	181	197	140	189	1686	1888	300	379	1009	1129	3270	3456	13910	14403	4331	4473	5371	5853	5849	6039	5199	5471	19794	20485
chr5	73718728	73719369	1029	1151	57	69	19	38	455	503	86	90	253	296	628	770	1843	1963	806	852	661	828	896	986	858	893	3273	3714
chr16	4572069	4572610	1453	1654	103	114	100	134	417	474	145	169	156	322	1508	1721	1352	1434	758	814	632	753	894	948	806	891	3442	3786
chr16	72371464	72372547	1282	2164	76	120	56	73	400	537	44	156	483	608	1218	1729	1250	1407	853	1018	476	593	1197	1432	722	1060	2177	4024
chr6	36019012	36019646	2158	2522	82	91	76	102	565	722	105	254	477	590	1655	1826	2667	2736	1442	1561	1389	1498	393	1651	1324	1586	109	4801
chr5	180169982	180170384	777	1284	53	73	19	59	305	574	57	101	47	308	844	946	4578	4945	1209	1360	2016	2452	1749	1911	1365	1602	5389	6047
chr1	224063089	224063606	2112	2595	118	138	90	111	243	443	174	223	97	565	1120	1210	1731	1781	947	990	721	778	1158	1223	1069	1162	3820	4013
chr5	42813539	42813987	1750	2144	100	117	92	107	1095	1169	69	150	533	586	2064	2199	6607	6822	2163	2272	2842	3180	2624	2715	2628	2758	8667	9070
chr5	95710762	95711365	1851	2314	80	123	88	103	388	676	106	232	88	600	1464	1524	3167	3345	1508	1639	1434	1527	2230	2385	1631	1756	6383	6842
chr16	4086017	4086457	1962	2155	119	132	65	65	837	912	102	152	527	600	1410	1479	5939	6119	1854	1940	2686	2971	2395	2447	2176	2260	8111	8489
chr6	6933100	6933546	1213	1491	77	105	101	134	279	372	144	182	275	346	129	909	416	426	248	280	148	167	416	496	258	280	1212	1344
chr16	19764934	19765494	1886	2094	116	134	84	145	884	963	190	242	488	540	2250	2355	3445	3600	1928	2028	1560	1708	2026	2109	1883	2006	7372	7789
chr5	16699741	16700536	2192	2770	85	127	121	143	326	457	143	188	420	557	617	1393	444	943	436	833	236	405	246	777	359	864	195	2867
chr10	29951261	29951911	1363	1816	57	71	31	126	405	497	150	195	206	365	1262	1366	1720	1762	1021	1052	717	822	1062	1108	859	914	3982	4215
chr1	63326240	63327079	1715	3902	48	251	144	193	571	1430	67	357	52	939	580	3923	537	5689	471	3687	70	2404	438	4649	345	3512	1113	14353
chr10	70572247	70572626	942	1164	58	62	73	79	393	442	120	127	205	226	973	1045	1569	1864	656	843	620	709	1226	1272	50	966	4093	4336
chr15	89406229	89406649	1205	3072	104	160	34	96	693	1101	231	317	178	525	296	3634	451	9848	212	4181	65	4376	173	5105	205	4982	481	15357
chr9	34588677	34589142	650	4792	14	280	29	106	1166	1949	31	419	43	1373	366	5972	265	6580	298	3990	22	2243	188	6248	149	4988	605	16333
chr16	4282838	4283390	1012	1362	54	65	41	41	211	336	60	90	107	310	1013	1227	1864	2211	677	860	884	1176	765	929	795	1029	3208	3809
chr17	80089038	80089637	1929	2217	77	84	129	150	459	617	115	122	214	479	903	1035	2479	2761	1178	1312	1120	1361	1480	1583	1313	1444	4877	5424
chr14	37172231	37172528	41	1849	20	97	13	84	483	1129	19	217	28	386	298	2797	219	9886	127	3646	2	5264	22	4312	41	3943	30	15109
chr18	79469629	79470423	2560	2919	80	88	122	124	1316	1488	197	246	292	441	2582	2693	8792	9053	2756	2866	3737	4132	3913	4052	2923	3052	11910	12585
chr17	82320702	82321126	1304	2054	52	84	75	96	534	781	80	144	117	605	1622	1826	4230	4657	1666	1868	2551	2915	1913	2203	2059	2431	8049	9039
chr5	9535060	9535899	1917	2435	128	167	55	148	617	717	146	226	503	551	1844	1977	4814	4989	1943	2043	1558	1894	2592	2734	2228	2389	8526	9006
chr17	80212687	80213068	1593	1773	58	61	53	58	477	587	98	105	470	550	1022	1179	2125	2253	1322	1375	838	1002	489	1014	1276	1334	4384	4980
chr1	154838615	154839517	2590	3188	88	110	73	78	609	852	144	210	209	575	1508	1608	4191	4357	1416	1513	1830	2143	2028	2159	1500	1670	5519	5853
chr9	126630615	126631595	1111	1735	44	81	21	98	83	567	49	155	62	593	252	1752	597	2162	330	1469	131	947	395	2402	328	1631	1217	6503
chr4	39263311	39263913	1273	1388	63	64	22	30	536	586	87	94	277	338	1163	1186	2151	2229	790	815	929	993	1087	1135	909	944	3587	3754
chr3	197854960	197855410	1757	1940	82	102	92	197	321	377	217	237	406	453	1098	1138	492	503	459	465	250	258	769	792	470	485	1659	2173
chr1	110228725	110230035	2159	2767	87	119	35	101	897	1262	193	268	603	778	2529	2674	6365	6701	2783	2963	2719	3228	2965	3874	3055	3323	8408	11687
chr21	42661767	42662093	1111	1218	59	59	48	49	527	594	69	78	195	213	487	1214	3041	3144	1120	1159	1565	1712	1358	1413	1366	1466	4922	5228
chr5	181166709	181167129	859	1490	59	78	49	70	143	326	84	129	36	432	531	926	576	700	415	513	316	407	583	846	307	377	1686	2174
chr6	157905784	157906066	294	688	35	42	54	56	187	216	62	68	158	185	634	650	791	815	588	618	425	451	711	740	552	580	2201	2301
chr17	4982080	4982573	582	760	49	52	68	68	294	331	68	83	116	147	503	591	1532	1609	421	442	775	843	90	533	543	563	1778	2044
chr19	2736932	2737651	1826	2007	107	115	76	83	769	914	126	180	623	703	2032	2093	5034	5178	1565	1624	2720	2861	1485	2083	1800	1885	720	7211
chr6	125739402	125741026	2286	2484	145	151	191	231	639	740	278	318	231	570	1820	1975	1250	1297	1045	1088	629	683	1255	1336	978	1063	4360	4580
chr2	128160803	128161196	366	962	58	68	73	81	208	259	119	133	279	354	709	764	333	343	343	359	139	152	528	545	402	419	1682	1733
chr20	62155520	62156086	1451	1871	74	91	25	80	616	683	85	133	681	745	1275	1405	3393	3489	1251	1316	1501	1624	1854	1939	1406	1525	5412	5637
chr19	32559665	32560006	798	930	65	81	40	47	306	389	53	94	193	291	911	980	1237	1287	919	986	572	655	1101	1153	900	966	3646	3843
chr16	87748143	87748485	628	757	46	50	27	28	227	285	52	67	189	221	620	654	904	992	489	572	444	537	675	794	492	582	174	2115
chr7	149004587	149004985	399	824	32	35	24	25	274	319	52	53	199	236	671	696	1575	1622	961	995	755	815	939	969	1078	1117	3813	4003
chr17	67248481	67248939	1643	1854	69	69	75	85	321	370	123	135	294	365	898	966	1773	1854	573	659	927	1019	780	844	99	360	2671	2895
chr2	218557160	218557603	452	1080	77	80	79	85	256	288	157	177	259	339	676	735	475	486	442	452	260	284	495	506	384	400	1775	1852
chr6	15226935	15228470	3305	3736	150	161	122	141	850	1088	110	329	536	697	2206	2405	4739	4885	2063	2134	2038	2233	2429	2480	2360	2512	8151	8486
chr7	156546259	156546582	395	1091	40	49	69	84	396	500	78	131	169	263	814	909	1944	2084	726	803	835	1009	882	989	843	992	3188	3574
chr2	239746104	239746592	1030	1350	64	104	90	113	316	394	124	186	210	460	916	1090	1420	1679	964	1098	424	651	933	1112	772	996	3210	3962
chr8	125556361	125556776	682	924	41	68	5	50	126	257	65	108	166	260	620	792	891	934	373	402	393	440	658	700	343	372	1419	1532
chr20	43557243	43558162	1606	1926	120	144	55	70	575	692	126	172	250	807	1651	1824	3021	3144	1296	1363	1369	1483	1739	1860	1281	1373	4980	5483
chr2	46556029	46556922	2110	2598	131	150	133	159	478	570	93	224	533	614	1249	1299	1689	1746	1165	1217	721	856	1175	1224	1125	1189	4416	4620
chr4	102665312	102665583	712	799	48	53	27	65	143	154	66	68	124	141	457	482	167	171	182	194	98	113	314	331	172	180	896	960
chr2	62454085	62454744	490	594	34	54	12	30	164	205	65	85	161	195	613	701	846	905	411	441	395	446	646	692	390	454	1649	1771
chr4	37917302	37917733	1072	1387	111	115	27	27	375	495	139	152	144	459	1091	1110	1003	1041	788	822	482	543	1167	1205	779	842	3296	3415
chr17	825123	825713	1534	2099	76	108	67	76	758	994	128	181	208	373	1949	2221	3977	4198	2001	2188	1688	1932	2525	2709	2009	2230	8111	8694
chr5	16869691	16870166	1249	1416	66	77	42	109	248	282	94	100	309	348	836	936	1000	1063	533	563	356	427	751	785	603	669	2569	2708
chr5	116388806	116389117	824	931	73	77	49	53	242	284	55	95	218	252	172	848	730	747	561	590	328	349	610	666	545	553	1460	1981
chr1	209662736	209663391	1230	1511	41	55	59	66	182	315	98	110	74	279	596	717	748	798	598	644	326	382	562	603	512	561	2192	2357
chr9	81592069	81592354	1404	1502	94	110	98	131	553	642	155	164	154	368	1287	1366	3418	3537	1305	1371	1468	1584	1626	1712	1736	1829	6039	6431
chr4	8914075	8914696	1168	1622	50	75	41	73	424	599	90	135	107	398	1530	1874	2628	3038	1374	1626	1028	1258	1937	2238	1410	1653	6124	7035
chr1	10975664	10975918	447	760	30	59	4	18	153	248	34	73	83	190	608	732	681	718	594	618	352	398	732	803	589	633	2733	2888
chr22	45199630	45199918	631	696	33	47	16	30	411	456	76	83	221	235	985	1008	2022	2089	744	765	853	937	1159	1177	858	916	3152	3284
chr7	47513406	47513875	964	1277	31	66	38	59	265	404	91	124	270	352	694	1213	462	1047	376	793	218	555	393	1033	348	787	1374	3545
chr17	34184760	34185327	1172	1773	68	90	73	92	512	766	71	83	59	421	703	859	1430	1544	427	461	480	651	581	628	427	511	1534	1697
chr11	18078547	18079125	1107	2535	135	142	114	115	829	899	196	205	431	489	1804	1869	3204	3319	1032	1064	1603	1698	1549	1612	1231	1289	5457	5679
chr7	66650668	66650981	841	1056	64	76	13	80	267	316	68	100	163	207	809	846	824	841	396	418	476	524	535	550	443	471	1769	1841
chr19	784850	785785	1614	1807	108	132	50	84	856	974	160	197	487	601	2122	2273	2738	2869	1512	1600	1182	1276	2185	2275	1773	1875	6347	6765
chr6	24357591	24358384	199	4691	39	174	105	145	911	1999	28	393	76	524	656	4855	1553	16794	525	5879	414	8190	519	6851	624	7136	2221	25347
chr12	56379447	56380421	1712	2097	143	156	120	141	417	481	147	162	278	502	1441	1543	961	1003	737	781	479	520	1040	1078	765	813	3351	3569
chr11	16887376	16887631	1363	1466	112	115	64	69	742	779	83	128	425	454	973	993	4298	4464	948	1011	1818	2001	1370	1434	1036	1134	4578	4885
chr20	60040687	60040974	841	937	33	34	30	31	185	253	66	70	99	268	727	772	1769	1823	806	832	634	703	967	986	845	881	3138	3266
chr2	240722601	240723509	1777	2056	82	91	32	41	1035	1248	210	234	166	422	2065	2261	9482	10008	2735	2895	3672	4243	3260	3477	3257	3572	11751	12577
chr9	135908523	135908786	1042	1282	96	111	17	80	522	575	89	133	303	347	632	810	3056	3181	874	917	3001	3241	1080	1143	1084	1138	4007	4237
chr12	133189339	133189878	1824	1960	117	121	100	118	530	599	172	186	340	363	1296	1309	944	983	671	698	529	580	839	867	723	744	2891	3053
chr18	35730739	35731058	765	1060	25	42	22	28	316	341	15	107	189	220	1230	1273	717	739	430	457	356	415	701	723	425	460	2185	2278
chr11	3154259	3154649	1249	1539	51	62	50	53	411	606	96	132	262	359	1406	1547	4897	5161	1837	1952	2157	2388	752	2591	1620	1802	621	8303
chr1	196145132	196145451	1545	1741	97	120	116	125	134	175	109	141	119	289	613	695	454	471	243	255	195	223	376	398	231	251	1155	1247
chr19	49813021	49813363	133	1183	0	52	1	42	331	560	0	156	21	257	2	1371	9	1350	2	919	14	1123	1	1455	1	1120	7	3652
chr15	52738214	52738981	1122	1389	69	78	33	40	348	467	73	87	68	263	858	899	1742	1822	715	765	664	794	1033	1066	872	944	3132	3390
chr10	31139230	31139729	1266	1447	64	70	101	110	300	353	145	167	87	221	736	790	698	718	479	525	307	360	613	644	518	568	2053	2120
chr9	131078032	131078443	1672	1882	101	111	77	82	656	754	147	165	289	445	1649	1759	4584	4776	1477	1566	2137	2372	1925	2004	1716	1863	6415	6740
chr9	128250066	128250346	827	1559	31	91	38	38	47	856	28	131	15	510	65	1524	159	5915	39	2757	172	5461	131	2899	67	3013	196	9071
chr8	141178693	141179079	1203	1421	30	50	25	31	366	457	52	74	286	338	162	993	2126	2268	1036	1133	767	890	1160	1235	1081	1142	3914	4183
chr7	45257822	45258302	1249	1575	69	88	33	39	252	375	97	110	142	374	717	820	962	1026	422	479	381	497	612	676	522	603	2195	2388
chr11	272224	272935	1351	1748	94	110	37	64	422	726	176	199	394	572	1634	1796	5248	5392	1736	1822	2486	2811	2354	2503	2331	2492	7142	7501
chr3	187781368	187781632	282	710	51	53	58	67	276	297	74	86	153	169	425	439	1358	1375	485	507	556	669	579	587	521	543	1966	2028
chr4	52051991	52052312	215	1854	2	75	5	99	61	765	60	126	46	503	98	2162	176	4999	162	2129	55	2261	73	2451	90	2108	228	8903
chr13	113622922	113623497	2649	2845	64	89	26	46	1029	1138	153	165	821	904	2145	2210	6891	7031	3201	3292	2935	3077	3393	3507	2944	3093	11646	12092
chr3	15303529	15304855	3481	3938	185	212	129	146	1068	1315	267	294	920	1223	3249	3894	4282	4779	1681	2118	2258	2614	3405	3656	615	2452	10793	11822
chr20	37416907	37417637	1757	2211	92	125	37	42	769	1033	163	203	356	896	1148	1240	6104	6341	1745	1864	2726	3100	2333	2475	1863	1985	7401	7953
chr2	240755865	240757919	3315	4150	184	220	100	145	1296	1782	309	387	502	1328	3312	3703	9568	10319	3954	4306	3644	4416	5043	5412	3980	4425	15091	16554
chr11	68209889	68210146	819	1325	47	60	39	44	388	496	113	143	145	420	929	1022	1020	1085	540	599	819	902	839	939	738	842	3446	3912
chr2	241359452	241359785	620	701	44	64	52	55	200	308	89	99	62	231	659	691	1197	1243	671	711	697	753	765	791	585	631	2628	2758
chr13	35694952	35695725	1570	2176	121	131	100	107	798	996	210	239	386	796	1868	2090	6780	7242	2292	2437	2260	2712	2878	3105	2466	2740	9214	10006
chr20	25991060	25991677	2583	2934	117	134	60	90	1128	1257	213	230	749	1014	2620	2776	5829	6023	1954	2061	2081	2349	2654	2820	2105	2222	7398	7833
chr20	48667708	48668131	906	1041	46	57	11	26	283	360	81	106	328	383	896	985	1908	1987	828	861	846	899	1133	1200	916	986	3736	4049
chr16	18962112	18962554	445	942	44	49	3	37	225	293	65	86	220	333	815	926	1469	1561	621	691	573	706	888	981	637	717	2763	3016
